URL	Title	Speaker	Quotes
https://www.imdb.com/title/tt7167602/quotes/	Suicide Squad: Hell to Pay (Video 2018)	Harley Quinn	I ain't worried, I know I'm going to heaven. Anyone who can put up with Mr J deserves a break.
https://www.imdb.com/title/tt7167602/quotes/	Suicide Squad: Hell to Pay (Video 2018)	Harley Quinn	Psychotics have needs you know. We have needs.
https://www.imdb.com/title/tt7167602/quotes/	Suicide Squad: Hell to Pay (Video 2018)	Harley Quinn	To Waller: I heard about poor little, Julie. They stole my look you know. But, I offered to give her a whole new make-over. With a baseball bat.
https://www.imdb.com/title/tt5779638/quotes/	DC Super Hero Girls: Super Hero High (TV Movie 2016)	Harley Quinn	[ congratulating Supergirl ] You were all that and two bags of chips!
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	You rotten little scamps! I struggle to make a good home for you and this is the thanks I get!
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	Break a grandmother's heart! I hope they throw the book at you!
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	Okay, so he roughed the kid up a little. But I'll make it right.
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	Maybe he means our little Jay.
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	Uh-uh. No peeking.
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	[ patting it affectionately ] Mommy's little helper.
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	Help! Help! Somebody, please help!
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	[ revealing herself, hitting him with a mallet ] Not really, Bird Boy.
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	That old clock's a-tickin'.
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	But rather than go through all the joy of childbirth, we decided to adopt.
https://www.imdb.com/title/tt0233298/quotes/?ref_=tt_trv_qu	Batman Beyond: Return of the Joker (Video 2000)	Harley Quinn	[ to Robin ] Sweetie, go get Mommy's bazooka.
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	Anyone who throws boomerangs has some real issues letting go.
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	Don't worry! I landed on my head!
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	Yahtzee!
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	[ on the Joker ] I'm fine. We're done. He's a jerk. Whatever.
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	I got an itch I thought you could help me scratch, cowboy...
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	WHOO! Good start!
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	[ about Black Spider ] Ninjas are AWESOME!
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	Even better, puddin'.
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	[ to Captain Boomerang ] Go wave your boomer-Wang at the shark guy!
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	AW CRAP! Not this again!
https://www.imdb.com/title/tt3139086/quotes/?ref_=tt_trv_qu	Batman: Assault on Arkham (Video 2014)	Harley Quinn	[ to Batman, about the Joker ] Sure, he slaps me around a lot. But you're the one who's always hurting me!
https://www.imdb.com/title/tt5012504/quotes/?ref_=tt_trv_qu	Injustice (2021)	Harley Quinn	Hey, where am I?
https://www.imdb.com/title/tt5012504/quotes/?ref_=tt_trv_qu	Injustice (2021)	Harley Quinn	Ah! It's nice to be drugged and wake up to be handcuffed in a lair. Puddin' and I used to this every Thursday.
https://www.imdb.com/title/tt5012504/quotes/?ref_=tt_trv_qu	Injustice (2021)	Harley Quinn	Here comes the boom!
https://www.imdb.com/title/tt5012504/quotes/?ref_=tt_trv_qu	Injustice (2021)	Harley Quinn	[ gassed again by Green Arrow ] Asshole.
https://www.imdb.com/title/tt11079148/quotes/?ref_=tt_trv_qu	Justice League Dark: Apokolips War (Video 2020)	Harley Quinn	[ gets tasered ] I tawt I taw a puddy tat!
https://www.imdb.com/title/tt11079148/quotes/?ref_=tt_trv_qu	Justice League Dark: Apokolips War (Video 2020)	Harley Quinn	[ explodes from a Parademon's body ] TOP OF THE WORLD, PUDDIN'!
https://www.imdb.com/title/tt11079148/quotes/?ref_=tt_trv_qu	Justice League Dark: Apokolips War (Video 2020)	Harley Quinn	What the heck are they?
https://www.imdb.com/title/tt11079148/quotes/?ref_=tt_trv_qu	Justice League Dark: Apokolips War (Video 2020)	Harley Quinn	Easy peasy, rich n' cheesy. Ha-ha!
